,open,close,high,low,value,volume,begin,end
0,109.0,109.2,111.11,108.01,2211623351.09,20252489,2007-07-20 00:00:00,2007-07-20 23:59:59
1,109.7,112.0,112.65,108.1,3901828829.37,35092029,2007-07-23 00:00:00,2007-07-23 23:59:59
2,112.1,109.53,113.05,109.47,3536964241.26,31762001,2007-07-24 00:00:00,2007-07-24 23:59:59
3,108.5,109.63,109.98,107.1,4300852581.85,39700937,2007-07-25 00:00:00,2007-07-25 23:59:59
4,110.0,104.18,110.42,103.3,5299122987.79,49871205,2007-07-26 00:00:00,2007-07-26 23:59:59
5,102.0,102.41,103.83,100.81,5496358261.76,53701139,2007-07-27 00:00:00,2007-07-27 23:59:59
6,102.65,102.0,104.29,100.33,3127256513.56,30588468,2007-07-30 00:00:00,2007-07-30 23:59:59
7,103.62,105.5,105.64,102.9,3455744284.02,33104685,2007-07-31 00:00:00,2007-07-31 23:59:59
8,102.78,101.59,102.91,101.55,3730892907.57,36540554,2007-08-01 00:00:00,2007-08-01 23:59:59
9,102.54,102.3,103.36,101.78,2206814948.15,21543291,2007-08-02 00:00:00,2007-08-02 23:59:59
10,103.0,102.28,103.53,101.91,2957788059.11,28804333,2007-08-03 00:00:00,2007-08-03 23:59:59
11,100.53,100.54,101.41,99.98,2840126697.84,28262733,2007-08-06 00:00:00,2007-08-06 23:59:59
12,101.59,100.65,102.5,99.98,2610578746.74,25686257,2007-08-07 00:00:00,2007-08-07 23:59:59
13,101.69,102.8,102.91,101.65,3447126048.47,33687905,2007-08-08 00:00:00,2007-08-08 23:59:59
14,103.57,99.57,103.89,98.77,5105188334.61,50632563,2007-08-09 00:00:00,2007-08-09 23:59:59
15,97.6,95.55,97.99,94.31,7104454578.56,73831375,2007-08-10 00:00:00,2007-08-10 23:59:59
16,96.68,97.39,97.8,95.55,3728081689.45,38498696,2007-08-13 00:00:00,2007-08-13 23:59:59
17,96.2,96.85,97.37,96.0,1892126111.29,19560275,2007-08-14 00:00:00,2007-08-14 23:59:59
18,95.07,94.5,95.28,93.23,2770473742.05,29370438,2007-08-15 00:00:00,2007-08-15 23:59:59
19,92.5,90.51,92.55,89.52,5954946076.35,65443811,2007-08-16 00:00:00,2007-08-16 23:59:59
20,90.51,94.8,95.18,88.31,10121205236.73,110926448,2007-08-17 00:00:00,2007-08-17 23:59:59
21,95.25,93.19,96.44,93.1,3947082162.1,41541526,2007-08-20 00:00:00,2007-08-20 23:59:59
22,94.35,91.4,94.4,89.6,6015745531.99,65782084,2007-08-21 00:00:00,2007-08-21 23:59:59
23,91.57,93.6,93.8,90.55,4073215553.82,43932753,2007-08-22 00:00:00,2007-08-22 23:59:59
24,94.89,94.27,96.08,93.51,5824923346.29,61299120,2007-08-23 00:00:00,2007-08-23 23:59:59
25,93.3,93.81,94.3,92.26,3360888795.29,36066126,2007-08-24 00:00:00,2007-08-24 23:59:59
26,95.19,95.11,95.6,94.0,3492456176.25,36756341,2007-08-27 00:00:00,2007-08-27 23:59:59
27,94.9,94.4,95.08,93.71,2692699805.39,28495785,2007-08-28 00:00:00,2007-08-28 23:59:59
28,92.15,93.94,94.4,92.01,3187049712.01,34123232,2007-08-29 00:00:00,2007-08-29 23:59:59
29,95.0,94.3,96.0,94.21,3594002768.29,37770842,2007-08-30 00:00:00,2007-08-30 23:59:59
30,95.5,97.39,97.73,95.05,4556601111.87,47178848,2007-08-31 00:00:00,2007-08-31 23:59:59
31,97.8,98.0,98.97,97.12,3376020958.24,34359858,2007-09-03 00:00:00,2007-09-03 23:59:59
32,97.99,97.2,98.25,96.75,2294740022.22,23584547,2007-09-04 00:00:00,2007-09-04 23:59:59
33,97.51,95.0,97.8,94.9,3232834034.05,33637329,2007-09-05 00:00:00,2007-09-05 23:59:59
34,95.04,96.51,97.1,95.04,3511884822.83,36591090,2007-09-06 00:00:00,2007-09-06 23:59:59
35,96.5,94.2,96.6,93.4,3717264608.16,39220174,2007-09-07 00:00:00,2007-09-07 23:59:59
36,93.8,94.09,94.89,93.2,2708616618.31,28743056,2007-09-10 00:00:00,2007-09-10 23:59:59
37,94.77,94.92,94.96,94.16,1165614850.9,12315459,2007-09-11 00:00:00,2007-09-11 23:59:59
38,95.18,94.2,95.44,93.65,1914120416.19,20299133,2007-09-12 00:00:00,2007-09-12 23:59:59
39,94.73,96.33,96.6,94.11,2553816288.73,26802375,2007-09-13 00:00:00,2007-09-13 23:59:59
40,96.5,96.1,96.85,95.65,2909531399.45,30271899,2007-09-14 00:00:00,2007-09-14 23:59:59
41,96.01,94.87,96.19,94.6,2095329523.66,22013422,2007-09-17 00:00:00,2007-09-17 23:59:59
42,94.6,97.4,98.06,94.5,3613222962.12,37470457,2007-09-18 00:00:00,2007-09-18 23:59:59
43,99.9,103.77,103.8,99.8,12221006492.63,119839393,2007-09-19 00:00:00,2007-09-19 23:59:59
44,103.01,102.3,103.29,100.85,6646407636.92,65159209,2007-09-20 00:00:00,2007-09-20 23:59:59
45,101.54,101.83,102.7,101.52,4708551052.8,46159883,2007-09-21 00:00:00,2007-09-21 23:59:59
